reqdate,userid,amount,appuser,description,userip,deviceid,platform
2026-05-06 11:24:35.698,c4264262b96c340546b95a1dba6bca70,13000.0,8905e5ae2bb9a599b0357e74ce226491,Phương dùng Zalopay chuyển tiền,113.181.26.32,cfff04eac0e3ccec15af453796d6f152,ios
2026-05-06 11:26:09.134,daf1d088f049676fe9c2847a17835930,22000.0,56e269ebbd6e6e32d4f1bbd2681db72e,Ánh dùng Zalopay chuyển tiền,14.163.106.143,f7b0125415c76252fee572bfb12555d1,ios
2026-05-06 19:31:33.690,5354f8a3265dd8d295f8807eac7c4975,35000.0,fbdf6736d1e59f6f61e5a4cb0c82b12d,Na dùng Zalopay chuyển tiền,27.67.132.109,5de00134f1e8f9802bd8162181f2b808,ios
2026-05-06 20:38:21.491,1e08aef6aa557e915b00c1a3a50723ab,12000.0,6294d3bcaacecc6367eba4931e600b2c,Mai xinh gái,116.98.242.215,ee0c170e0b4143715e5fe7afe763fe5e,android
2026-05-06 20:40:16.034,7068651381e7b48adb27601c4e3a6880,28000.0,a759599da848d861d537649ad3d04467,Phúc dùng Zalopay chuyển tiền,125.234.229.22,5f5df0d19feb5297bf9a8e43551cf1a9,ios
2026-05-06 17:37:32.639,41f147fa2b50c8180bdba7b3b15b4eed,31000.0,a38ce4f95fbc6f0de0095e5df99362ba,Chuyển lại cho anh trai yêu dấu của em,14.191.48.244,b00ca4624c73fa288ac80f30a3d7ac0d,ios
2026-05-06 12:00:31.147,f696064decf883579a8b1b1cbccb7f90,12000.0,3383df5052ff35902192004ec953055c,Thuý dùng Zalopay chuyển tiền,14.178.198.60,c935c1b0b752538b5b8676e7f2d65d36,ios
2026-05-06 20:40:03.177,452b1daa2183e3a5514d845c1757f66c,18000.0,bee577ca810736bf8875b5e72c084194,Vy dùng Zalopay chuyển tiền,171.251.152.196,742d247711fffa0cd733438bf67111a5,ios
2026-05-06 18:11:07.471,adc6a600c903984da738c6e54852e469,10000.0,6db0f01e33bce6c6f8a859e0b5bb3a90,Kỳ dùng Zalopay chuyển tiền,116.98.244.98,1178f39e02c990d3aec4766b33b0dba1,android
2026-05-06 19:08:13.211,41930a89e6300b37c880bac28dd0076a,18000.0,c2f1ccc5c6e4d267f7cba6f80c2aec23,Hương dùng Zalopay chuyển tiền,171.252.254.113,24340c383436c6a1a3f9fbc698b51fd6,ios
